8416Y;08285;VALÈNCIA, VIVEROS;VALENCIA;392850N;002159W;11;1994-07-02;2021-09-03
8416;08285;VALÈNCIA;VALENCIA;392850N;002159W;11;1937-11-01;2021-09-03
8293X;08290;XÀTIVA;VALENCIA;390006N;003125W;88;1990-04-02;2021-09-03
2503X;08142;OLMEDO;VALLADOLID;411933N;044113W;740;1991-09-12;2017-12-10
2539;08140;VALLADOLID AEROPUERTO;VALLADOLID;414243N;045120W;846;1936-11-01;2021-09-02
2422;08141;VALLADOLID;VALLADOLID;413827N;044516W;735;1973-10-01;2021-09-02
2755X;08056;BENAVENTE;ZAMORA;420039N;054000W;715;1988-12-17;2021-09-02
2775X;08125;VILLARDECIERVOS;ZAMORA;415629N;061647W;850;1988-12-17;2021-09-02
2614;08130;ZAMORA;ZAMORA;413056N;054407W;656;1920-02-01;2021-09-02
9576C;08165;BUJARALOZ;ZARAGOZA;413121N;001028W;357;1992-07-07;2018-06-06
9394X;08156;CALATAYUD;ZARAGOZA;411952N;013843W;582;1993-04-01;2021-09-03
9390;08157;DAROCA;ZARAGOZA;410652N;012436W;779;1920-01-01;2021-09-03
9244X;08090;SOS DEL REY CATÓLICO;ZARAGOZA;422927N;011249W;626;1992-02-04;2021-09-03
9434;08160;ZARAGOZA, AEROPUERTO;ZARAGOZA;413938N;010015W;249;1941-01-01;2021-09-03
9434P;08159;ZARAGOZA, VALDESPARTERA;ZARAGOZA;413715N;005606W;254;2012-10-01;2021-09-03
