9170;08084;LOGROÑO, AEROPUERTO;LA RIOJA;422708N;021952W;353;1948-11-01;2021-09-03
C249I;60035;FUERTEVENTURA AEROPUERTO;LAS PALMAS;282641N;135147W;25;1967-01-01;2021-09-03
C649I;60030;GRAN CANARIA AEROPUERTO;LAS PALMAS;275504N;152343W;32;1951-01-01;2021-09-03
C619I;60027;LA ALDEA DE SAN NICOLÁS;LAS PALMAS;280003N;154850W;10;2000-01-14;2016-09-15
C029O;60040;LANZAROTE AEROPUERTO;LAS PALMAS;285707N;133601W;14;1972-11-01;2021-09-03
C659M;60032;LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA;LAS PALMAS;280647N;152517W;15;2013-09-21;2021-09-03
C659H;60029;LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL;LAS PALMAS;280523N;152458W;55;2002-05-02;2021-09-03
C689E;60037;MASPALOMAS;LAS PALMAS;274409N;153545W;6;1994-07-01;2021-09-03
C629X;60036;MOGÁN, PUERTO;LAS PALMAS;274859N;154551W;10;2003-02-07;2021-09-03
C229J;60034;PÁJARA;LAS PALMAS;280257N;142129W;15;1993-02-01;2021-09-03
C839I;;TEGUISE;LAS PALMAS;291355N;133007W;10;1992-01-01;2016-11-06
2737E;08123;LAGUNAS DE SOMOZA;LEON;422239N;061148W;1020;1999-10-02;2021-09-02
2661B;08055;LEÓN AEROPUERTO;LEON;423558N;053837W;912;2014-04-01;2017-07-31
2661;08055;LEÓN, VIRGEN DEL CAMINO;LEON;423518N;053904W;912;1938-01-01;2021-09-02
1549;08053;PONFERRADA;LEON;423350N;063600W;534;1951-01-01;2021-09-02
2630X;08057;PUERTO DE SAN ISIDRO;LEON;430344N;052237W;1510;1991-10-04;2021-09-02
9619;08115;LA SEU D'URGELL;LLEIDA;422117N;012747E;677;1928-09-01;2021-09-03
9771;;LLEIDA, OBSERVATORIO;LLEIDA;413702N;003716E;199;1959-06-01;1983-01-31
9771C;08171;LLEIDA;LLEIDA;413734N;003553E;185;1983-02-01;2021-09-03
9990X;08107;NAUT ARAN, ARTIES ;LLEIDA;424201N;005237E;1161;2002-01-01;2021-09-03
9698U;08112;TALARN;LLEIDA;421219N;005155E;807;2002-01-01;2021-09-01
9720X;08173;TÀRREGA;LLEIDA;413902N;010858E;388;1997-01-02;2019-11-13
1505;08008;LUGO AEROPUERTO;LUGO;430641N;072727W;445;1951-01-01;2021-09-02
3100B;08229;ARANJUEZ;MADRID;400402N;033246W;540;1976-04-01;2021-09-02
3110C;08146;BUITRAGO DEL LOZOYA;MADRID;410025N;033649W;1030;1997-01-01;2021-09-02
3191E;08219;COLMENAR VIEJO;MADRID;404146N;034554W;1004;1978-01-01;2021-09-02
3200;08224;GETAFE;MADRID;401758N;034320W;620;1951-01-01;2021-09-03
3129;08221;MADRID AEROPUERTO;MADRID;402800N;033320W;609;1945-01-01;2021-09-02
3194U;08220;MADRID, CIUDAD UNIVERSITARIA;MADRID;402706N;034327W;664;1972-01-01;2021-06-14
3196;08223;MADRID, CUATRO VIENTOS;MADRID;402232N;034710W;690;1945-05-01;2021-09-03
3195;08222;MADRID, RETIRO;MADRID;402443N;034041W;667;1920-01-01;2021-09-03
3266A;08217;PUERTO ALTO DEL LEÓN;MADRID;404223N;040831W;1532;1997-01-01;2021-09-03
2462;08215;PUERTO DE NAVACERRADA;MADRID;404735N;040038W;1894;1946-01-01;2021-09-02
3338;08212;ROBLEDO DE CHAVELA;MADRID;402540N;041500W;763;1997-01-04;2021-09-03
3111D;08145;SOMOSIERRA;MADRID;410808N;033449W;1450;2005-07-03;2021-09-02
3175;08227;TORREJÓN DE ARDOZ;MADRID;402919N;032637W;607;1961-01-01;2021-09-02
6106X;08413;ANTEQUERA;MALAGA;370146N;044454W;408;2001-01-01;2021-09-03
6058I;08463;ESTEPONA;MALAGA;362501N;050918W;19;2001-01-01;2021-09-03
6084X;08480;FUENGIROLA;MALAGA;363219N;043706W;8;2000-12-01;2021-09-03
6155A;08482;MÁLAGA AEROPUERTO;MALAGA;363958N;042856W;5;1942-05-01;2021-09-03
