ID;Codigo;Municipio;Provincia;Latitud;Longitud;Altura;Inicio;Fin
2117D;8144;ARANDA DE DUERO;BURGOS;413957N;034434W;790;16-04-2002;02-09-2021
9111;8077;BELORADO;BURGOS;422516N;031013W;820;18-04-1989;03-09-2021
2331;8075;BURGOS AEROPUERTO;BURGOS;422125N;033713W;891;01-08-1943;02-09-2021
9051;8063;MEDINA DE POMAR;BURGOS;425512N;032858W;580;01-09-1949;03-09-2021
2298;8149;PALACIOS DE LA SIERRA;BURGOS;415735N;030754W;1080;01-02-1934;31-08-2021
3469;;CÁCERES, CIUDAD;CACERES;392833N;062235W;459;01-01-2020;31-12-1986
3469A;8261;CÁCERES;CACERES;392817N;062020W;394;01-12-1982;03-09-2021
3526X;8251;CORIA;CACERES;400013N;063327W;313;01-02-1989;03-09-2021
3434X;8254;NAVALMORAL DE LA MATA;CACERES;395645N;053457W;269;22-09-2001;03-09-2021
3519X;8252;PLASENCIA;CACERES;400235N;060509W;415;24-03-1999;31-08-2021
3463X;8263;TRUJILLO;CACERES;392857N;055115W;503;06-02-2003;30-09-2019
3576X;8260;VALENCIA DE ALCÁNTARA;CACERES;392453N;071352W;444;01-08-1996;03-09-2021
5973;8452;CÁDIZ;CADIZ;362959N;061528W;2;01-11-1935;03-09-2021
5911A;8455;GRAZALEMA;CADIZ;364538N;052227W;913;01-02-2000;03-09-2021
5960;8451;JEREZ DE LA FRONTERA AEROPUERTO;CADIZ;364502N;060321W;27;01-02-1946;03-09-2021
5910;8449;ROTA, BASE NAVAL;CADIZ;363820N;061957W;21;01-09-1988;03-09-2021
5972X;8453;SAN FERNANDO;CADIZ;362756N;061220W;28;01-03-1997;03-09-2021
6001;8458;TARIFA;CADIZ;360050N;053556W;32;01-05-1945;03-09-2021
5995B;8457;VEJER DE LA FRONTERA;CADIZ;361444N;055754W;186;01-03-1997;03-09-2021
1083L;8020;CASTRO URDIALES;CANTABRIA;432341N;031402W;45;29-04-2014;02-09-2021
9001D;8032;REINOSA;CANTABRIA;425931N;040938W;870;21-02-2005;03-09-2021
1159;8017;SAN VICENTE DE LA BARQUERA;CANTABRIA;432336N;042332W;38;01-01-1961;02-09-2021
1109;8021;SANTANDER AEROPUERTO;CANTABRIA;432526N;034932W;3;12-09-1953;02-09-2021
1110;;SANTANDER, CIUDAD;CANTABRIA;432754N;034908W;64;01-01-2024;07-04-1997
1111X;8023;SANTANDER;CANTABRIA;432928N;034802W;52;01-03-2012;02-09-2021
1111;8023;SANTANDER;CANTABRIA;432928N;034802W;52;01-06-1946;02-09-2021
9019B;8033;VALDERREDIBLE, POLIENTES   ;CANTABRIA;424823N;035602W;720;01-01-1993;03-09-2021
9563X;8237;CASTELLFORT;CASTELLON;402955N;001112W;1220;20-11-1991;03-09-2021
8500A;8286;CASTELLÓN - ALMASSORA;CASTELLON;395726N;000419W;43;01-01-1976;02-09-2021
8501;;CASTELLÓ DE LA PLANA;CASTELLON;395921N;000156W;23;01-01-2020;31-08-2021
8489X;8241;VILLAFRANCA DEL CID/VILLAFRANCA;CASTELLON;402600N;001521W;1131;25-01-2009;03-09-2021
8523X;8239;VINARÒS;CASTELLON;403315N;002547E;111;16-01-1991;14-12-2020
5000A;;CEUTA, MONTE HACHO;CEUTA;355344N;051732W;200;01-01-1935;31-12-1986
5000C;60320;CEUTA;CEUTA;355319N;052049W;87;01-06-2003;03-09-2021
4121C;;CIUDAD REAL, INSTITUTO;CIUDAD REAL;385916N;035545W;627;01-01-2020;31-10-1970
4121;8348;CIUDAD REAL;CIUDAD REAL;385921N;035513W;628;01-11-1970;03-09-2021
4220X;8271;PUEBLA DE DON RODRIGO;CIUDAD REAL;390519N;043659W;486;10-11-2006;03-09-2021
4103X;8276;TOMELLOSO;CIUDAD REAL;391009N;030027W;662;10-11-2006;03-09-2021
4147X;8351;VALDEPEÑAS;CIUDAD REAL;384502N;032329W;700;09-11-2006;03-09-2021
4148;8345;VISO DEL MARQUÉS;CIUDAD REAL;383105N;033400W;804;01-01-1964;24-08-2021
5402;8410;CÓRDOBA AEROPUERTO;CORDOBA;375056N;045048W;90;01-04-1959;03-09-2021
5427X;8412;DOÑA MENCÍA;CORDOBA;373322N;042114W;650;19-02-2000;03-09-2021
4267X;8335;HINOJOSA DEL DUQUE;CORDOBA;382955N;050716W;551;01-03-2000;03-09-2021
