ID;Codigo;Municipio;Provincia;Latitud;Longitud;Altura;Inicio;Fin
8309X;8281;UTIEL;VALENCIA;393432N;011441W;758;10-01-1991;03-09-2021
8414A;8284;VALENCIA AEROPUERTO;VALENCIA;392906N;002829W;56;01-01-1965;03-09-2021
8416Y;8285;VALÈNCIA, VIVEROS;VALENCIA;392850N;002159W;11;02-07-1994;03-09-2021
8416;8285;VALÈNCIA;VALENCIA;392850N;002159W;11;01-11-1937;03-09-2021
8293X;8290;XÀTIVA;VALENCIA;390006N;003125W;88;02-04-1990;03-09-2021
2503X;8142;OLMEDO;VALLADOLID;411933N;044113W;740;12-09-1991;10-12-2017
2539;8140;VALLADOLID AEROPUERTO;VALLADOLID;414243N;045120W;846;01-11-1936;02-09-2021
2422;8141;VALLADOLID;VALLADOLID;413827N;044516W;735;01-10-1973;02-09-2021
2755X;8056;BENAVENTE;ZAMORA;420039N;054000W;715;17-12-1988;02-09-2021
2775X;8125;VILLARDECIERVOS;ZAMORA;415629N;061647W;850;17-12-1988;02-09-2021
2614;8130;ZAMORA;ZAMORA;413056N;054407W;656;01-02-2020;02-09-2021
9576C;8165;BUJARALOZ;ZARAGOZA;413121N;001028W;357;07-07-1992;06-06-2018
9394X;8156;CALATAYUD;ZARAGOZA;411952N;013843W;582;01-04-1993;03-09-2021
9390;8157;DAROCA;ZARAGOZA;410652N;012436W;779;01-01-2020;03-09-2021
9244X;8090;SOS DEL REY CATÓLICO;ZARAGOZA;422927N;011249W;626;04-02-1992;03-09-2021
9434;8160;ZARAGOZA, AEROPUERTO;ZARAGOZA;413938N;010015W;249;01-01-1941;03-09-2021
9434P;8159;ZARAGOZA, VALDESPARTERA;ZARAGOZA;413715N;005606W;254;01-10-2012;03-09-2021
